date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:31:02	120/120	---M--	302	error ('Found')	text/html	date:Mon,%2015%20May%202023%2018:58:59%20GMT	https://crsorgi.gov.in/web/index.php/birth/birthReportingPDF/V/MTNDclBzM2tYZ1VjeFN4QXNMZ3J1dz09/type/print	C:/My%20Web%20Sites/V/crsorgi.gov.in/web/index.php/birth/birthReportingPDF/V/MTNDclBzM2tYZ1VjeFN4QXNMZ3J1dz09/type/print.0.delayed	(from )
00:31:03	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		http://crsorgi.gov.in/web/index.php/auth/login	C:/My%20Web%20Sites/V/crsorgi.gov.in/web/index.php/auth/login.1.delayed	(from )
00:31:04	40980/40980	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20May%202023%2018:59:00%20GMT	https://crsorgi.gov.in:443/web/index.php/auth/login	C:/My%20Web%20Sites/V/crsorgi.gov.in_443/web/index.php/auth/login.html	(from )
00:31:04	237/237	---M-Z	200	added ('OK')	text/plain	etag:%222cf-5c2e48f1e1a40-gzip%22	https://crsorgi.gov.in:443/robots.txt		(from )
00:31:05	7942/7942	---M-Z	200	added ('OK')	text/css	etag:%221f06-5bda744340040-gzip%22	https://crsorgi.gov.in:443/web/css/style.css	C:/My%20Web%20Sites/V/crsorgi.gov.in_443/web/css/style.css	(from https://crsorgi.gov.in:443/web/index.php/auth/login)
00:31:05	1090/1090	---M-Z	200	added ('OK')	text/css	etag:%22442-5bda744340040-gzip%22	https://crsorgi.gov.in:443/web/css/default.css	C:/My%20Web%20Sites/V/crsorgi.gov.in_443/web/css/default.css	(from https://crsorgi.gov.in:443/web/index.php/auth/login)
00:31:05	4068/4068	---M-Z	200	added ('OK')	text/css	etag:%22fe4-5bda744340040-gzip%22	https://crsorgi.gov.in:443/web/css/main.css	C:/My%20Web%20Sites/V/crsorgi.gov.in_443/web/css/main.css	(from https://crsorgi.gov.in:443/web/index.php/auth/login)
00:31:06	59/59	---M--	200	added ('OK')	text/css	etag:%223b-5bda744340040%22	https://crsorgi.gov.in:443/web/css/jquery.ui.all.css	C:/My%20Web%20Sites/V/crsorgi.gov.in_443/web/css/jquery.ui.all.css	(from https://crsorgi.gov.in:443/web/index.php/auth/login)
00:31:06	14845/14845	---M-Z	200	added ('OK')	text/css	etag:%2239fd-5bda744340040-gzip%22	https://crsorgi.gov.in:443/web/css/jquery-ui-1.10.0.custom.css	C:/My%20Web%20Sites/V/crsorgi.gov.in_443/web/css/jquery-ui-1.10.0.custom.css	(from https://crsorgi.gov.in:443/web/index.php/auth/login)
00:31:06	1920/1920	---M-Z	200	added ('OK')	text/css	etag:%22780-5bda744340040-gzip%22	https://crsorgi.gov.in:443/web/css/login_style.css	C:/My%20Web%20Sites/V/crsorgi.gov.in_443/web/css/login_style.css	(from https://crsorgi.gov.in:443/web/index.php/auth/login)
00:31:06	24752/24752	---M-Z	200	added ('OK')	application/javascript	etag:%2260b0-5bda744710940-gzip%22	https://crsorgi.gov.in:443/web/js/mm_menu.js	C:/My%20Web%20Sites/V/crsorgi.gov.in_443/web/js/mm_menu.js	(from https://crsorgi.gov.in:443/web/index.php/auth/login)
00:31:07	143880/143880	---M-Z	200	added ('OK')	application/javascript	etag:%2223208-5bda744710940-gzip%22	https://crsorgi.gov.in:443/web/js/jquery-1.9.0.js	C:/My%20Web%20Sites/V/crsorgi.gov.in_443/web/js/jquery-1.9.0.js	(from https://crsorgi.gov.in:443/web/index.php/auth/login)
